reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,l,3.2447775999316946,None,0,0,0,4,0.08579689997714013,,0.08208540000487119,0.08579689997714013,1.0092494999989867,1.0092494999989867,1.0929615000495687,4.265500399982557,l,3.2447775999316946,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
40,55,62,1,1,0,l,0.9600219000130892,None,0,1,1,3,4.275494100060314,,4.268829800072126,4.275494100060314,5.27617269998882,5.27617269998882,5.27617269998882,6.24559850001242,l,0.9600219000130892,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
78,80,162,2,2,0,t,0.7523690999951214,None,0,2,2,6,6.259803400025703,,6.248909100075252,6.259803400025703,7.2599589000456035,7.2599589000456035,7.2599589000456035,8.029275199980475,t,0.7523690999951214,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
15,35,13,3,3,0,l,0.4784577999962494,None,0,3,3,1,8.043195100035518,,8.032302599982359,8.043195100035518,9.042521300027147,9.042521300027147,9.042521300027147,9.52949660003651,l,0.4784577999962494,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
11,30,7,4,4,0,t,1.7518031999934465,None,0,4,4,0,9.542422599974088,,9.531815499998629,9.542422599974088,10.54318030003924,10.54318030003924,10.54318030003924,12.296770600019954,t,1.7518031999934465,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
67,75,119,5,5,0,t,0.9506657000165433,None,0,5,5,5,12.309661000035703,,12.299102200078778,12.309661000035703,13.309808499994688,13.309808499994688,13.309808499994688,14.261957400012761,t,0.9506657000165433,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
27,50,21,6,6,0,t,0.7046433000359684,None,0,6,6,2,14.2758473000722,,14.264370599994436,14.2758473000722,15.27643149998039,15.27643149998039,15.27643149998039,15.995803500059992,t,0.7046433000359684,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
67,75,119,7,0,1,t,0.815521200071089,None,1,0,7,5,16.009029800072312,,15.998649200075306,16.009029800072312,17.009328700019978,17.009328700019978,17.009328700019978,17.828379100072198,t,0.815521200071089,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
40,55,62,8,1,1,t,0.748918000026606,None,1,1,8,3,17.84240399999544,,17.830331000033766,17.84240399999544,18.84249280008953,18.84249280008953,18.84249280008953,19.595235800021328,t,0.748918000026606,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
78,80,162,9,2,1,t,0.5138352999929339,None,1,2,9,6,19.60924900008831,,19.597902100067586,19.60924900008831,20.60953250003513,20.60953250003513,20.60953250003513,21.128633200074546,t,0.5138352999929339,None,575796,001,2024-11-21_14h28.09.371,Delay Discounting,2024.2.1post4,60.0424620029622,2024-11-21 14h28.30.338796 +0530,
