reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,l,1.0334685000125319,None,0,0,0,1,0.07660280005075037,,0.07281769998371601,0.07660280005075037,1.0052109999815002,1.0052109999815002,1.0893708999501541,2.043832700001076,l,1.0334685000125319,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
27,50,21,1,1,0,l,0.8189937000861391,None,0,1,1,2,2.0551425999728963,,2.047672600019723,2.0551425999728963,3.055572499986738,3.055572499986738,3.055572499986738,3.891276399954222,l,0.8189937000861391,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
11,30,7,2,2,0,l,0.5870556000154465,None,0,2,2,0,3.9054597000358626,,3.8933210000395775,3.9054597000358626,4.905248700059019,4.905248700059019,4.905248700059019,5.5083467999938875,l,0.5870556000154465,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
67,75,119,3,3,0,t,0.8533076000167057,None,0,3,3,5,5.521727700019255,,5.511857100063935,5.521727700019255,6.521795199951157,6.521795199951157,6.521795199951157,7.391106300055981,t,0.8533076000167057,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
49,60,89,4,4,0,t,1.003254899987951,None,0,4,4,4,7.405247100046836,,7.394306299975142,7.405247100046836,8.40494340006262,8.40494340006262,8.40494340006262,9.42525209998712,t,1.003254899987951,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
40,55,62,5,5,0,l,1.023852700018324,None,0,5,5,3,9.438043300062418,,9.427557899965905,9.438043300062418,10.438807200058363,10.438807200058363,10.438807200058363,11.474834799999371,l,1.023852700018324,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
78,80,162,6,6,0,t,0.7591308000264689,None,0,6,6,6,11.48879269999452,,11.477453000028618,11.48879269999452,12.48856159998104,12.48856159998104,12.48856159998104,13.25796309998259,t,0.7591308000264689,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
11,30,7,7,0,1,l,0.6276474000187591,None,1,0,7,0,13.270958099979907,,13.260422199964523,13.270958099979907,14.272012799978256,14.272012799978256,14.272012799978256,14.907678300049156,l,0.6276474000187591,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
78,80,162,8,1,1,t,0.6820515999570489,None,1,1,8,6,14.921971900039352,,14.910171800060198,14.921971900039352,15.921772600035183,15.921772600035183,15.921772600035183,16.607971500023268,t,0.6820515999570489,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
40,55,62,9,2,1,l,1.0625106999650598,None,1,2,9,3,16.621847299975343,,16.61036970000714,16.621847299975343,17.62176200002432,17.62176200002432,17.62176200002432,18.69138460000977,l,1.0625106999650598,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
